participant,trial,expectation,feedback,reference,profile,reset,mean_population,item_number,factor_number
2,97,6,7,NA,2,1,4.992307692307692,68,2
2,98,8,8,8,2,1,7.175257731958763,53,5
2,99,8,6,8,2,1,7.037878787878788,54,5
2,100,7,6,6,2,1,5.976744186046512,7,3
2,101,7,8,4,2,1,6.596899224806202,73,4
2,102,7,6,8,2,1,6.839793281653747,27,4
2,103,7,7,6,2,1,6.776623376623377,32,4
2,104,3,6,7,2,1,5.297709923664122,65,3
2,105,3,3,5,2,1,5.529262086513995,10,3
2,106,7,8,5,2,1,5.493573264781491,3,3
2,107,8,6,7,2,1,6.554430379746836,50,4
2,108,6,8,7,2,1,6.083756345177665,79,4
2,109,7,8,6,2,1,7.17005076142132,35,4
2,110,7,7,7,2,0,7.017721518987342,14,4
2,111,7,5,NA,2,1,5.238341968911917,2,2
2,112,6,8,5,2,1,6.83080808080808,15,4
2,113,6,8,7,2,0,6.451776649746193,5,4
2,114,6,1,7,2,1,5.414322250639386,18,3
2,115,6,5,5,2,1,5.285347043701799,23,3
2,116,7,6,6,2,1,6.017456359102244,31,3
2,117,2,7,5,2,1,5.077720207253886,72,2
2,118,6,8,5,2,1,6.9104859335038364,8,4
2,119,4,1,NA,3,1,5.238341968911917,2,2
2,120,2,3,5,3,1,5.529262086513995,10,3
2,121,7,7,5,3,1,7.159898477157361,40,4
2,122,3,8,7,3,0,6.554430379746836,50,4
2,123,3,8,8,3,1,6.839793281653747,27,4
2,124,3,2,7,3,1,5.297709923664122,65,3
2,125,3,7,NA,3,1,4.992307692307692,68,2
2,126,6,6,5,3,0,5.666666666666667,29,3
2,127,2,7,NA,3,1,5.280612244897959,70,2.5
2,128,5,5,6,3,1,5.948586118251928,13,3
2,129,3,5,7,3,1,6.083756345177665,79,4
2,130,3,7,3,3,0,4.860759493670886,45,2
2,131,6,7,7,3,1,6.0997506234413965,51,4
2,132,2,5,7,3,1,5.235443037974684,30,3
2,133,2,5,6,3,1,5.3915211970074814,6,3
2,134,6,7,5,3,1,6.9104859335038364,8,4
2,135,5,8,7,3,1,5.414322250639386,18,3
2,136,7,5,4,3,0,5.394805194805195,67,3
2,137,2,2,5,3,1,5.077720207253886,72,2
2,138,3,7,7,3,1,6.043701799485861,48,4
2,139,8,8,8,3,1,7.175257731958763,53,5
2,140,2,6,5,3,1,5.285347043701799,23,3
2,141,7,6,6,3,0,5.723076923076923,58,3
2,142,6,5,8,3,1,5.129675810473816,26,3
2,143,3,7,7,3,1,6.01025641025641,43,3.5
2,144,2,8,4,3,1,6.369509043927649,22,4
2,145,7,7,7,3,1,6.401496259351621,41,4
2,146,6,7,7,3,0,6.451776649746193,5,4
2,147,6,4,7,3,1,5.959493670886076,4,3
2,148,5,6,5,3,0,6.5575,16,4
2,149,2,6,1,3,1,4.245,66,1
2,150,3,6,4,3,0,6.596899224806202,73,4
2,151,5,7,6,3,0,6.916243654822335,24,4
2,152,6,7,7,3,1,6.892768079800499,1,4
2,153,3,4,6,3,0,5.351706036745407,63,3
2,154,6,5,4,3,1,5.147286821705427,57,2
2,155,6,6,8,3,0,6.183937823834197,77,4
2,156,7,6,5,3,1,5.493573264781491,3,3
2,157,5,7,6,3,1,6.776623376623377,32,4
2,158,7,7,7,3,0,6.329177057356609,36,4
2,159,6,4,6,3,1,6.1914357682619645,19,4
2,160,4,6,4,3,1,5.63681592039801,76,3
2,161,7,6,7,3,0,6.5240506329113925,44,4
2,162,7,6,8,3,1,6.370646766169155,56,4
2,163,5,2,5,3,1,5.539240506329114,20,3
2,164,2,7,8,3,1,7.037878787878788,54,5
2,165,4,7,6,3,1,7.17005076142132,35,4
2,166,2,7,6,3,1,5.750636132315521,55,3
2,167,7,7,2,3,0,6.0648379052369075,71,4
2,168,6,6,6,3,0,5.976744186046512,7,3
2,169,7,7,8,3,1,6.987146529562982,38,4
2,170,6,6,5,3,1,6.83080808080808,15,4
2,171,5,7,8,3,0,7.012626262626263,64,4
2,172,3,4,7,3,0,5.6640625,47,3
2,173,4,5,4,3,0,5.55440414507772,12,3
2,174,4,6,6,3,1,6.111392405063291,49,4
2,175,2,5,3,3,0,5.639896373056994,42,3
2,176,4,7,7,3,1,7.017721518987342,14,4
